"","tweet_id","tweet_text","tweet_created_at","tweet_geo_lat","tweet_geo_lon","tweet_city","text_clean"
"216","741847757812432897","#AUS #LAX Austin Texas -&gt; Los Angeles $175 https://t.co/bY9u7cLWJ5","Sun Jun 12 04:21:02 +0000 2016","30.1944","-97.67","Austin, TX","aus lax austin texas gt los angeles 175 http tcoby9u7clwj5"
"217","741850692881649664","So damn good! - Drinking a Dry Hopped Series Pale Ale (Falconer's Flight 7C's) at @thelaserwolf - https://t.co/wYNC2hPAcC #photo","Sun Jun 12 04:32:42 +0000 2016","26.1347","-80.1412","Fort Lauderdale, FL","so damn good drinking dry hopped series pale ale falconer s flight 7c s thelaserwolf http tcowync2hpacc photo"
"219","741855427470598144","Flight in less than 5hrs and i'm still awake","Sun Jun 12 04:51:31 +0000 2016","33.9981936","-84.3451702","Sandy Springs, GA","flight le 5hrs m still awake"
"220","741855532730847232","49th State flight. @ 49th State Brewing Company https://t.co/Q5kWiCO3TO","Sun Jun 12 04:51:56 +0000 2016","63.86397078","-149.01712168","Alaska, USA","49th state flight 49th state brewing company http tcoq5kwico3to"
"222","741862348411936770","#PSP #SFO Palm Springs -&gt; San Francisco $109 https://t.co/0w8DbJRych","Sun Jun 12 05:19:01 +0000 2016","33.8297","-116.5067","Palm Springs, CA","psp sfo palm springs gt san francisco 109 http tco0w8dbjrych"
"223","741893558064451584","#SEA #LAX Seattle -&gt; Los Angeles $109 https://t.co/ULIsKTUtcp","Sun Jun 12 07:23:02 +0000 2016","47.4489","-122.3094","SeaTac, WA","sea lax seattle gt los angeles 109 http tcoulisktutcp"
"224","741908153491587072","#AUS #SFO Austin Texas -&gt; San Francisco $159 https://t.co/bY9u7cLWJ5","Sun Jun 12 08:21:02 +0000 2016","30.1944","-97.67","Austin, TX","aus sfo austin texas gt san francisco 159 http tcoby9u7clwj5"
"225","741908406076739585","#SAN #SFO San Diego -&gt; San Francisco $109 https://t.co/MsPaE3w6uQ","Sun Jun 12 08:22:02 +0000 2016","32.7336","-117.1897","San Diego, CA","san sfo san diego gt san francisco 109 http tcomspae3w6uq"
"227","741923759829831681","#DCA #SFO Washington DC/DCA -&gt; San Francisco $239 https://t.co/ZM8W0wgZLe","Sun Jun 12 09:23:03 +0000 2016","38.8522","-77.0378","Arlington, VA","dca sfo washington dcdca gt san francisco 239 http tcozm8w0wgzle"
"228","741925988834107392","#ACFE on the early flight (@ Baltimore / Washington International Thurgood Marshall Airport (BWI) in Baltimore, MD) https://t.co/GuElipVdnV","Sun Jun 12 09:31:54 +0000 2016","39.17931235","-76.66867018","Severn, MD","acfe early flight baltimore washington international thurgood marshall airport bwi baltimore md http tcoguelipvdnv"
"231","741933446344364032","Up to 50% Off Frio Bat Flight https://t.co/pmg5oq3L4X","Sun Jun 12 10:01:32 +0000 2016","29.4452","-99.6649","Texas, USA","up 50 off frio bat flight http tcopmg5oq3l4x"
"232","741935376193998848","Flight time soon (@ Omaha Eppley Airfield (OMA) in Omaha, NE w/ @mmermell @1angell18) https://t.co/VjOGIVOON9 https://t.co/bWY0o7bPUu","Sun Jun 12 10:09:12 +0000 2016","41.29962111","-95.89937925","Omaha, NE","flight time soon omaha eppley airfield oma omaha ne w mmermell 1angell18 http tcovjogivoon9 http tcobwy0o7bpuu"
"234","741938101371559939","#LAS #LAX Las Vegas -&gt; Los Angeles $159 https://t.co/RfH5altL7U","Sun Jun 12 10:20:02 +0000 2016","36.08","-115.1522","Paradise, NV","las lax las vegas gt los angeles 159 http tcorfh5altl7u"
"235","741938354137112576","#IAD #SFO Washington Dulles -&gt; San Francisco $89 https://t.co/D3sAx110Tr","Sun Jun 12 10:21:02 +0000 2016","38.9444","-77.4558","Virginia, USA","iad sfo washington dulles gt san francisco 89 http tcod3sax110tr"
"237","741940011742924800","Listening to Dr Dre's The Pharmacy on Beats1 before the flight to Cali (@ Terminal 4 in Jamaica, NY) https://t.co/prdiEbGj2q","Sun Jun 12 10:27:38 +0000 2016","40.64396594","-73.78272057","Queens, NY","listening dr dre s the pharmacy beats1 flight cali terminal 4 jamaica ny http tcoprdiebgj2q"
